,Tweet_Times,Tweet_Content,Tweet_Number_of_Likes,Tweet_Number_of_Retweets
0,2022-03-17,"VIDEO of a Russian soldiers being ambushed, taking fire and running for cover. Location not given but poss S. Ukraine. #Ukraineunderattack #Putinwarcrimes #Ukrainian #Ukraine #RussianArmedForces  #Russia #Russianwar #RussiaWarCrimes #Putin https://t.co/Jcmc5305Ln",35,7
2,2022-03-23,"#Ukraine If you are right &amp; have the courage and will, you will win. 
No matter how different the scales are between you and your opponent. 
#Russia #USA #RussianWar #RussianUkrainianWar #UkraineUnderAttaсk #RussianWarCrimes https://t.co/YwWL48wvHW",23,7
4,2022-03-19,"VIDEO of Ukrainian Air Defences over Kyiv firing at incoming Russian either missiles or aircraft, this morning. #Putin #Ukraineunderattack #Ukrainian #Ukraine  #Russia #Russianwar #PutinWarCriminal https://t.co/EKqB4urR7e",4,0
5,2022-03-24,"The Russian Embassy in London 🇺🇦
#russianwar 
#russianliers 
#GoHomeRussia https://t.co/HyImw4fvAU",1,0
6,2022-03-18,Ukrainian forces launched a counter attack near Mykolaiv in E. Ukraine. The resulting battle pushed Russian forces back releiving the pressure on the city and recapturing almost 75miles of territory. Map via @TheDeadDistrict #Ukraine #Russia #Putin #UkraineRussiaWar #Russianwar https://t.co/hfixtYjtAK,116,46
7,2022-03-18,"IMAGE of villagers who destroyed app half of a Russian column in Posad-Pokrovs'ke,Kherson region using anti-tank weapons recapturing with #Ukraine forces.They are standing in front the Main Gov`t building there.#Putin #Ukraineunderattack #Ukrainian #Ukraine  #Russia #Russianwar https://t.co/DanLluqSsG",30,7
8,2022-03-20,"In Poland in all pharmacy and CVSs Russian products have been withdrawn from the market, clearly indicating that we will not be sponsoring #Russianwar. https://t.co/uCn14NxYfK",18,1
9,2022-03-24,"@mfa_russia @RF_OSCE @OSCE_SMM @OSCE @RusMission_EU @EUOSCE @RusEmbassyMinsk @Rfembkazakhstan @RusEmbRSO @RusembApsny @MID_DNR ""it is going according to plan""

#StopRussianAgression #RussianWar #RussianWarCrimes https://t.co/vxRKw792PH",290,4
10,2022-03-25,#Russia is considering selling its #oil and #gas for #bitcoin as #sanctions intensify from the West https://t.co/si8soKn43v #crypto #crypticurrencies #RussianInvasion #RussianWar,1,0
11,2022-03-19,"😔Exhausted by the #russianwar, #Mariupol. Consequences of the bombing
This is a crime we will never forget. This blood is in the hands of the russians and they will pay for it. And we will rebuild our #Mariupol. All over the country, the world.
Video source: @guardian https://t.co/H4zlGeFlie",17,7
12,2022-03-20,"Stop financing the #Russianwar machine!!! Your taste and money is soaked in the blood of innocent #Ukrainian people. 
#Nestle 
#UkraineRussiaWar 
#StopPutinWarCrimesNow 
#StopRussia 
#StandWithUkraine 
#UkraineUnderAttack https://t.co/K8w9GWTRf2",4,1
13,2022-03-17,VIDEO of an abandoned Russian MTLB amoured vehicle &amp; an 2S3 Akatsiya self propelled gun near Kharkiv NE Ukraine. #Ukraineunderattack #Putinwarcrimes #Ukrainian #Ukraine #RussianArmedForces  #Russian #Russianwar #RussiaWarCrimes #Putin #Russia https://t.co/aokcIdj0ol,7,4
14,2022-03-24,@METRO_News stop support #Russianwar#StandWithUkraine https://t.co/EGaZL2ynLV,60,20
15,2022-03-17,IMAGES of captured Russian armored vehicles that are now in service with Ukraine 25th Separate Airborne Brigade (Sicheslav) #Ukraineunderattack #Putinwarcrimes #Ukrainian #Ukraine #RussianArmedForces  #Russia #Russianwar #RussiaWarCrimes #Putin #Russianlosses #Putin #PutinsWar https://t.co/nvtt9LHNzQ,6,0
16,2022-03-18,"""It is putin, not russians"", right?

-&gt; 86,6% russians support potential attacks against other countries;
-&gt; 46% are *convinced* that russia should attack the EU;
-&gt; 75,5% think Poland will be next target, 41% - Baltic states, 39,6% - Bulgaria, Czechia, Slovakia &amp; even Hungary /1",17069,5552
17,2022-03-20,"A 🧵,how the #Russian #government does not appreciate its own soldiers' lives. I will try to give you some fascinating facts that popped up over 3 weeks of the #russianwar against Ukraine. Let's begin with Russian soldiers. -&gt; https://t.co/IuXcSuZJpr",8,4
18,2022-03-23,"The Russian Ambassador to Poland confirmed the receipt by the country's Ministry of Foreign Affairs of a note demanding the expulsion of 45 diplomats from the country on charges of espionage, the Russian media reports. #Russianwar https://t.co/aRk0jSuNz5",3,0
19,2022-03-25,@KyivIndependent I find no words anymore😢💔. #safeUkraine #StopRussia #russianwar #RussiaIsDisgrace #fckRussia #PutinHitler https://t.co/6b49iNEtHI,0,1
20,2022-03-24,".@ZelenskyyUa addressing in English calling intl community to support #Ukraine️, to defend freedom &amp; democracy, to stand up against #RussianWar.

 https://t.co/xp1hSNpZJh",2,1
21,2022-03-23,"Well ruSSians, thats a start. Way too late and way too little. But we wouldn‘t mind if you burn it all to the ground. #russia #moscow #russianwar #StandWithUkraine️",4,2
22,2022-03-16,Putin …. Midlife crisis? Probably. #putin #RussiaUkraineWar #russianwar #Ukraine https://t.co/zo6c0B8AXF,5,0
23,2022-03-17,VIDEO from Mariupol showing the devastation caused by Russia`s continued shelling destroying utility and maintenance vehicles. #Putin #Ukraineunderattack #Putinwarcrimes #Ukrainian #Mariupol #Ukraine #RussianArmedForces  #WarCrimes #Russianwar #RussiaWarCrimes https://t.co/f6KQ9J5CDz,81,42
24,2022-03-23,"The Old Lady Tell About #RussianWarCrimes , ""I Survived the 1933 Man Made Feminine. The War in 1941 But I've Never Experienced Like this.""  

#Ukraine #Russia #USA #RussianWar #RussianUkrainianWar #UkraineUnderAttaсk https://t.co/JyaHUY4Ste",9,0
